text,label
Election Commission of India introduced Aadhaar data protection policy after detailed review and official confirmation.,1
a viral WhatsApp forward predicts cybersecurity advisory will be enforced across India starting next month.,0
Securities and Exchange Board of India approved Chandrayaan mission update after detailed review and official confirmation.,1
a YouTube video without sources circulates claim that monsoon forecast by IMD will be enforced across India starting next month.,0
Reserve Bank of India ratified GST compliance rules after detailed review and official confirmation.,1
a viral WhatsApp forward reveals bank KYC norms will be enforced across India starting next month.,0
Government of India launched employment data release after detailed review and official confirmation.,1
a fake news website falsely states Aadhaar data protection policy will be enforced across India starting next month.,0
Press Information Bureau presented defence procurement policy after detailed review and official confirmation.,1
an unverified Facebook post spreads rumor that Gaganyaan human spaceflight program will be enforced across India starting next month.,0
ISRO launched new education policy implementation after detailed review and official confirmation.,1
a viral WhatsApp forward warns railway ticket booking reforms will be enforced across India starting next month.,0
Indian Meteorological Department presented Chandrayaan mission update after detailed review and official confirmation.,1
a viral WhatsApp forward predicts bank KYC norms will be enforced across India starting next month.,0
Securities and Exchange Board of India implemented Gaganyaan human spaceflight program after detailed review and official confirmation.,1
a forwarded social media message leaks national highway expansion project will be enforced across India starting next month.,0
Ministry of Health and Family Welfare updated pension scheme updates after detailed review and official confirmation.,1
a fake news website falsely states Chandrayaan mission update will be enforced across India starting next month.,0
ISRO ratified public healthcare insurance scheme after detailed review and official confirmation.,1
a viral Instagram reel reveals employment data release will be enforced across India starting next month.,0
Ministry of Health and Family Welfare ratified UPI transaction guidelines after detailed review and official confirmation.,1
an unverified Facebook post claims employment data release will be enforced across India starting next month.,0
Central Board of Direct Taxes notified new education policy implementation after detailed review and official confirmation.,1
a viral Instagram reel misleads saying defence procurement policy will be enforced across India starting next month.,0
Government of India approved employment data release after detailed review and official confirmation.,1
a viral WhatsApp forward misleads saying pension scheme updates will be enforced across India starting next month.,0
Government of India updated UPI transaction guidelines after detailed review and official confirmation.,1
a forwarded social media message leaks 5G rollout policy will be enforced across India starting next month.,0
Government of India clarified Aadhaar data protection policy after detailed review and official confirmation.,1
a fake news website warns GST compliance rules will be enforced across India starting next month.,0
Ministry of Finance clarified new education policy implementation after detailed review and official confirmation.,1
a forwarded social media message spreads rumor that inflation rate report will be enforced across India starting next month.,0
Telecom Regulatory Authority of India published Gaganyaan human spaceflight program after detailed review and official confirmation.,1
an anonymous Telegram message misleads saying pension scheme updates will be enforced across India starting next month.,0
Central Board of Direct Taxes notified Chandrayaan mission update after detailed review and official confirmation.,1
an unverified Facebook post predicts agricultural subsidy reforms will be enforced across India starting next month.,0
Government of India confirmed pension scheme updates after detailed review and official confirmation.,1
a misleading online blog misleads saying Chandrayaan mission update will be enforced across India starting next month.,0
Election Commission of India introduced railway ticket booking reforms after detailed review and official confirmation.,1
a misleading online blog circulates claim that pension scheme updates will be enforced across India starting next month.,0
Indian Railways implemented startup funding incentives after detailed review and official confirmation.,1
a viral Instagram reel spreads rumor that monsoon forecast by IMD will be enforced across India starting next month.,0
Government of India announced Gaganyaan human spaceflight program after detailed review and official confirmation.,1
an anonymous Telegram message asserts without evidence that mobile SIM verification rules will be enforced across India starting next month.,0
ISRO notified monsoon forecast by IMD after detailed review and official confirmation.,1
